,alpha,distance,iters
84,1.0,1.6868114471435547e-05,10.0
85,1.0,6.961822509765625e-05,17.0
86,1.0,9.751319885253906e-05,44.0
87,1.0,2.8133392333984375e-05,27.0
88,1.0,4.887580871582031e-06,10.0
89,1.0,2.580881118774414e-05,22.0
90,1.0,4.26173210144043e-05,12.0
91,1.0,6.198883056640625e-06,3.0
92,1.0,4.7147274017333984e-05,19.0
93,1.0,1.7523765563964844e-05,25.0
94,1.0,4.172325134277344e-06,3.0
95,1.0,1.0073184967041016e-05,9.0
96,1.0,1.4007091522216797e-05,7.0
97,1.0,2.6941299438476562e-05,4.0
98,1.0,1.245737075805664e-05,6.0
99,1.0,1.4901161193847656e-06,2.0
100,1.0,5.125999450683594e-06,3.0
101,1.0,1.4185905456542969e-05,5.0
102,1.0,5.4836273193359375e-06,17.0
103,1.0,2.4139881134033203e-05,12.0
104,1.0,1.800060272216797e-05,15.0
105,1.0,4.708766937255859e-06,4.0
106,1.0,3.355741500854492e-05,17.0
107,1.0,1.5139579772949219e-05,40.0
108,1.0,3.814697265625e-06,7.0
109,1.0,4.589557647705078e-06,7.0
110,1.0,5.662441253662109e-06,4.0
111,1.0,6.139278411865234e-06,5.0
112,1.0,1.9550323486328125e-05,24.0
113,1.0,1.3113021850585938e-06,1.0
114,1.0,1.2099742889404297e-05,57.0
115,1.0,1.7762184143066406e-05,12.0
116,1.0,9.715557098388672e-06,9.0
117,1.0,1.239776611328125e-05,57.0
118,1.0,2.7418136596679688e-06,8.0
119,1.0,9.119510650634766e-06,14.0
120,1.0,2.1457672119140625e-06,2.0
121,1.0,1.615285873413086e-05,22.0
122,1.0,1.728534698486328e-05,19.0
123,1.0,5.602836608886719e-06,3.0
124,1.0,2.7120113372802734e-05,23.0
125,1.0,3.629922866821289e-05,4.0
126,1.0,2.3365020751953125e-05,22.0
127,1.0,1.1146068572998047e-05,9.0
128,1.0,4.947185516357422e-06,6.0
129,1.0,3.528594970703125e-05,5.0
130,1.0,1.1622905731201172e-05,5.0
131,1.0,8.463859558105469e-06,43.0
132,1.0,3.337860107421875e-06,1.0
133,1.0,1.728534698486328e-05,12.0
134,1.0,1.2993812561035156e-05,4.0
135,1.0,1.9669532775878906e-05,7.0
136,1.0,7.337331771850586e-05,17.0
137,1.0,6.496906280517578e-06,5.0
138,1.0,2.110004425048828e-05,12.0
139,1.0,1.1146068572998047e-05,10.0
140,1.0,7.748603820800781e-07,1.0
141,1.0,2.6226043701171875e-06,2.0
142,1.0,7.152557373046875e-06,6.0
143,1.0,1.2814998626708984e-05,9.0
144,1.0,2.1636486053466797e-05,10.0
145,1.0,5.841255187988281e-06,4.0
146,1.0,6.67572021484375e-06,4.0
147,1.0,5.6684017181396484e-05,10.0
148,1.0,1.6689300537109375e-06,1.0
149,1.0,2.5272369384765625e-05,5.0
150,1.0,1.7404556274414062e-05,16.0
151,1.0,2.2590160369873047e-05,15.0
152,1.0,1.1444091796875e-05,17.0
153,1.0,6.139278411865234e-06,11.0
154,1.0,5.960464477539063e-08,1.0
155,1.0,3.522634506225586e-05,11.0
156,1.0,8.225440979003906e-06,18.0
157,1.0,3.820657730102539e-05,24.0
158,1.0,7.212162017822266e-06,12.0
159,1.0,9.834766387939453e-06,12.0
160,1.0,3.5762786865234375e-07,1.0
161,1.0,6.139278411865234e-06,7.0
162,1.0,1.2576580047607422e-05,15.0
163,1.0,7.152557373046875e-07,1.0
164,1.0,1.8656253814697266e-05,16.0
165,1.0,0.0001188516616821289,15.0
166,1.0,9.47713851928711e-06,6.0
167,1.0,2.8014183044433594e-06,8.0
168,1.0,2.485513687133789e-05,10.0
169,1.0,7.3909759521484375e-06,5.0
170,1.0,1.0371208190917969e-05,9.0
171,1.0,7.808208465576172e-06,7.0
172,1.0,1.6093254089355469e-06,1.0
173,1.0,3.0040740966796875e-05,8.0
174,1.0,5.424022674560547e-06,19.0
175,1.0,1.0251998901367188e-05,7.0
176,1.0,1.1980533599853516e-05,6.0
177,1.0,3.0994415283203125e-06,4.0
178,1.0,1.6093254089355469e-06,1.0
179,1.0,9.953975677490234e-06,13.0
180,1.0,1.1324882507324219e-06,1.0
181,1.0,0.00011515617370605469,23.0
182,1.0,1.6391277313232422e-05,7.0
183,1.0,1.0669231414794922e-05,12.0
184,1.0,1.3530254364013672e-05,16.0
185,1.0,1.728534698486328e-05,26.0
186,1.0,1.1444091796875e-05,15.0
187,1.0,9.000301361083984e-06,20.0
188,1.0,2.2709369659423828e-05,19.0
189,1.0,1.996755599975586e-05,15.0
190,1.0,8.344650268554688e-07,1.0
191,1.0,3.7550926208496094e-06,1.0
192,1.0,3.1113624572753906e-05,4.0
193,1.0,7.152557373046875e-06,15.0
194,1.0,2.1219253540039062e-05,6.0
195,1.0,1.2934207916259766e-05,9.0
196,1.0,0.00012421607971191406,36.0
197,1.0,2.086162567138672e-06,1.0
198,1.0,1.3589859008789062e-05,11.0
199,1.0,4.887580871582031e-06,7.0
200,1.0,8.702278137207031e-06,13.0
201,1.0,2.086162567138672e-06,3.0
202,1.0,5.239248275756836e-05,5.0
203,1.0,4.184246063232422e-05,47.0
204,1.0,3.4570693969726562e-06,2.0
205,1.0,1.3589859008789062e-05,11.0
206,1.0,4.410743713378906e-06,11.0
207,1.0,2.586841583251953e-05,46.0
208,1.0,7.867813110351562e-06,6.0
209,1.0,1.0311603546142578e-05,14.0
210,1.0,1.9609928131103516e-05,10.0
211,1.0,9.715557098388672e-06,7.0
212,1.0,5.960464477539063e-08,1.0
213,1.0,1.6689300537109375e-06,2.0
214,1.0,1.436471939086914e-05,9.0
215,1.0,6.020069122314453e-05,46.0
216,1.0,6.139278411865234e-06,6.0
217,1.0,9.179115295410156e-06,4.0
218,1.0,3.647804260253906e-05,21.0
219,1.0,1.436471939086914e-05,13.0
220,1.0,2.0384788513183594e-05,6.0
221,1.0,1.6808509826660156e-05,12.0
222,1.0,5.662441253662109e-06,4.0
223,1.0,1.7523765563964844e-05,5.0
224,1.0,1.0728836059570312e-05,6.0
225,1.0,5.036592483520508e-05,12.0
226,1.0,8.7738037109375e-05,4.0
227,1.0,1.2755393981933594e-05,4.0
228,1.0,2.4318695068359375e-05,23.0
229,1.0,7.68899917602539e-06,4.0
230,1.0,1.1265277862548828e-05,10.0
231,1.0,1.2934207916259766e-05,18.0
232,1.0,2.3365020751953125e-05,8.0
233,1.0,0.0004074573516845703,5.0
234,1.0,1.4901161193847656e-06,1.0
235,1.0,3.641843795776367e-05,44.0
236,1.0,2.09808349609375e-05,4.0
237,1.0,3.1113624572753906e-05,19.0
238,1.0,1.4424324035644531e-05,12.0
239,1.0,4.291534423828125e-05,77.0
240,1.0,4.291534423828125e-06,1.0
241,1.0,0.0001373291015625,3.0
242,1.0,3.3855438232421875e-05,18.0
243,1.0,6.079673767089844e-06,10.0
244,1.0,1.6987323760986328e-05,17.0
245,1.0,8.64267349243164e-06,4.0
246,1.0,1.2516975402832031e-06,1.0
247,1.0,5.0067901611328125e-06,7.0
248,1.0,1.8477439880371094e-06,3.0
249,1.0,1.0251998901367188e-05,6.0
250,1.0,1.1026859283447266e-05,11.0
251,1.0,3.2782554626464844e-06,6.0
252,1.0,4.380941390991211e-05,16.0
253,1.0,1.2159347534179688e-05,6.0
254,1.0,3.88026237487793e-05,35.0
255,1.0,1.3470649719238281e-05,12.0
256,1.0,1.1026859283447266e-05,8.0
